Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2015-12-10,270.444580078125,273.4134063472746,268.54109463628697,269.661250374785,659400
2015-12-11,252.84317016601562,267.78909094766624,251.62117769542334,266.8334516228805,1636100
2015-12-14,250.3522186279297,256.7833498433322,246.45122746582408,252.7648639877085,1267900
2015-12-15,258.13848876953125,259.6189695448175,252.74133539564846,254.54300813774856,1032500
2015-12-16,259.28216552734375,261.6321549429994,252.3575329178511,259.36050328893134,1142500
2015-12-17,258.6632995605469,263.47295550498546,257.3864682949931,260.731301491209,1127000
2015-12-18,251.81703186035156,257.049669189112,251.7856919748474,256.13318670973877,1025200
2015-12-21,255.01290893554688,257.0260714860289,252.6081055407332,255.07558868246977,534100
2015-12-22,258.8983154296875,259.61114834909597,252.60033773818986,255.36549071518107,711700
2015-12-23,266.0501708984375,266.46533477703366,260.5276809223974,261.4833443285492,678400
2015-12-24,264.2955017089844,267.01365739999454,262.5565083864169,266.62199245261746,240300
2015-12-28,268.25128173828125,268.5411099201604,262.3214698092275,263.93512717752225,865800
2015-12-29,269.1520690917969,271.932879751737,267.8908959405971,270.06855138363863,480200
2015-12-30,267.9378967285156,270.3975632995558,267.2877436385516,268.18072700714396,356900
2015-12-31,266.7394714355469,270.83629514958517,264.60881329117205,266.28515064171046,500000
2016-01-04,260.92718505859375,261.20917233786247,257.72336875180537,260.88018717871563,958900
2016-01-05,261.6007385253906,263.2770752926998,257.8094262459295,261.78091293379873,803200
2016-01-06,258.6241455078125,259.9871315829451,256.1488207021132,256.36815206943714,1138500
2016-01-07,247.3206787109375,255.09129544286097,244.87667012532611,251.1354902771206,1285300
2016-01-08,241.0932159423828,250.47751442563177,240.50571866291713,248.75417951040225,1500200
2016-01-11,241.5161590576172,242.8321468905863,238.4219979463997,242.1036561871912,1258400
2016-01-12,245.6443328857422,246.4355034523495,240.94435516156,244.72785061650748,1096800
2016-01-13,238.610107421875,249.43573228902127,237.83461847689443,246.91340907534268,1200000
2016-01-14,242.83226013183594,247.1014174930601,234.45846189421812,239.1192841911388,1373700
